file	pages	bytes	empty_text_pages
build/apuntes/clase06-apuntes.pdf	26	1043873	0
build/apuntes/clase07-apuntes.pdf	16	651570	0
build/apuntes/clase08-apuntes.pdf	14	570112	0
build/apuntes/clase09-apuntes.pdf	16	645832	0
build/docente/clase06-docente.pdf	28	1122073	0
build/docente/clase07-docente.pdf	20	803372	0
build/docente/clase08-docente.pdf	19	756719	0
build/docente/clase09-docente.pdf	19	756564	0
build/guias/clase06-guia.pdf	7	309202	0
build/guias/clase07-guia.pdf	5	214156	0
build/guias/clase08-guia.pdf	5	212900	0
build/guias/clase09-guia.pdf	5	212904	0
build/guias_resueltas/clase06-guiaresuelta.pdf	10	432637	0
build/guias_resueltas/clase07-guiaresuelta.pdf	9	380220	0
build/guias_resueltas/clase08-guiaresuelta.pdf	9	375314	0
build/guias_resueltas/clase09-guiaresuelta.pdf	9	374608	0
build/recursos/clase06-ficha-aula.pdf	7	291156	0
build/recursos/clase06-timelines-pizarra.pdf	2	98938	0
build/recursos/clase07-ficha-aula.pdf	8	315513	0
build/recursos/clase08-ficha-aula.pdf	8	319890	0
build/recursos/clase09-ficha-aula.pdf	8	316931	0
build/slides/clase06.pdf	73	2763653	0
build/slides/clase07.pdf	53	2000341	0
build/slides/clase08.pdf	49	1848654	0
build/slides/clase09.pdf	52	1954496	0
